date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:43	77692/77692	---M--	200	added ('OK')	image/png	etag:%2209f2d05f0a1212e08066222481444d44%22	http://hemingwayapp.com/img/favicon/mstile-310x310.png	h/h/hemingwayapp.com/img/favicon/mstile-310x310.png	(from http://hemingwayapp.com/)
11:23:44	97798/97798	---M--	200	added ('OK')	application/javascript	etag:%226fef55c62df380d41c8f42f8b0c1f4da%22	http://hemingwayapp.com/vendor/polyfill.min.js	h/h/hemingwayapp.com/vendor/polyfill.min.js	(from http://hemingwayapp.com/)
11:23:44	5558/5558	---M--	404	error ('Not%20Found')	text/html	etag:%22a7498bc6853817a0138e1bcd8c3869b0%22	http://hemingwayapp.com/img/favicon.png	h/h/hemingwayapp.com/img/favicon.png	(from http://hemingwayapp.com/help.html)
11:23:44	76782/76782	---M--	200	added ('OK')	application/javascript	etag:%227257212d7cbcde7af2c2e5ee79c009ed%22	http://hemingwayapp.com/build/hemingway3-web.js	h/h/hemingwayapp.com/build/hemingway3-web.js	(from http://hemingwayapp.com/)
11:23:45	4543/4543	---M--	200	added ('OK')	text/css	etag:%2264f49ceb9cd529e319d5dd668891c287%22	http://hemingwayapp.com/desktop/css/desktop.css	h/h/hemingwayapp.com/desktop/css/desktop.css	(from http://hemingwayapp.com/desktop.html)
11:23:45	1427/1427	---M--	200	added ('OK')	image/png	etag:%22aa15ecda370ab4be078532cdd0c80ec2%22	http://hemingwayapp.com/desktop/img/apple-logo.png	h/h/hemingwayapp.com/desktop/img/apple-logo.png	(from http://hemingwayapp.com/desktop.html)
11:23:45	1231/1231	---M--	200	added ('OK')	image/png	etag:%229f94d63a5ecc53f66b2c173ed0a3e3fb%22	http://hemingwayapp.com/desktop/img/windows-logo.png	h/h/hemingwayapp.com/desktop/img/windows-logo.png	(from http://hemingwayapp.com/desktop.html)
11:23:49	40352/40352	---M--	200	added ('OK')	image/png	etag:%224587d68d9af19f322e9af8e3092d63ac%22	http://hemingwayapp.com/img/logo.png	h/h/hemingwayapp.com/img/logo.png	(from http://hemingwayapp.com/help.html)
11:23:49	17425/17425	---M--	200	added ('OK')	image/png	etag:%22c90e189c9628c831809f67a065d8bf5e%22	http://hemingwayapp.com/desktop/img/dock.png	h/h/hemingwayapp.com/desktop/img/dock.png	(from http://hemingwayapp.com/desktop.html)
11:23:50	7561/7561	---M--	200	added ('OK')	image/png	etag:%2237647ee33d1c16251c79fb52bda0137a%22	http://hemingwayapp.com/desktop/img/publish.png	h/h/hemingwayapp.com/desktop/img/publish.png	(from http://hemingwayapp.com/desktop.html)
11:23:54	19316/19316	---M--	200	added ('OK')	image/png	etag:%227c99a8eb3a6ff2bb84990433557693d2%22	http://hemingwayapp.com/desktop/img/menu.png	h/h/hemingwayapp.com/desktop/img/menu.png	(from http://hemingwayapp.com/desktop.html)
11:23:59	59634/59634	---M--	200	added ('OK')	image/png	etag:%225614b33aaaeef538f39527387e8c4538%22	http://hemingwayapp.com/desktop/img/code3.png	h/h/hemingwayapp.com/desktop/img/code3.png	(from http://hemingwayapp.com/desktop.html)
11:24:02	43025/43025	---M--	200	added ('OK')	image/png	etag:%2298d38a60e77b6f66706d023b789292d6%22	http://hemingwayapp.com/desktop/img/pdf2.png	h/h/hemingwayapp.com/desktop/img/pdf2.png	(from http://hemingwayapp.com/desktop.html)
11:24:04	101488/101488	---M--	200	added ('OK')	image/png	etag:%2204d9e4183a19bb4c8a6f4dbd7c2ca5c7%22	http://hemingwayapp.com/desktop/img/toolbar3.png	h/h/hemingwayapp.com/desktop/img/toolbar3.png	(from http://hemingwayapp.com/desktop.html)
11:24:12	32902/32902	---M--	200	added ('OK')	image/png	etag:%224c62ab4de7c328e67ab97b23419639dc%22	http://hemingwayapp.com/desktop/img/knitted.png	h/h/hemingwayapp.com/desktop/img/knitted.png	(from http://hemingwayapp.com/desktop/css/desktop.css)
11:24:19	123771/123771	---M--	200	added ('OK')	image/jpeg	etag:%2244c40b478d31fe91af980efd81b16106%22	http://hemingwayapp.com/desktop/img/hem-header-full3.jpg	h/h/hemingwayapp.com/desktop/img/hem-header-full3.jpg	(from http://hemingwayapp.com/desktop/css/desktop.css)
11:24:20	262213/262213	---M--	200	added ('OK')	image/gif	etag:%22af79da2850daef56bb7b04380bf0c994%22	http://hemingwayapp.com/desktop/img/editing5.gif	h/h/hemingwayapp.com/desktop/img/editing5.gif	(from http://hemingwayapp.com/desktop.html)
11:24:24	241482/241482	---M--	200	added ('OK')	image/png	etag:%22c6435da859b984ccdf92e892c26fd8ce%22	http://hemingwayapp.com/desktop/img/screen-mba.png	h/h/hemingwayapp.com/desktop/img/screen-mba.png	(from http://hemingwayapp.com/desktop/css/desktop.css)
